,City,Cloudiness,COuntry,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,56,PF,1553237931,97,-23.12,-134.97,79.33,18.37
1,Tromso,75,NO,1553237982,84,69.65,18.96,32.0,12.75
2,Dikson,0,RU,1553237963,100,73.51,80.55,2.29,10.54
3,Hamilton,90,CA,1553237923,99,43.26,-79.87,39.99,6.93
4,Gaeta,0,IT,1553238079,66,41.22,13.56,60.01,10.29
5,Albany,90,US,1553237955,93,42.65,-73.75,39.0,13.87
6,Norman Wells,20,CA,1553234400,73,65.28,-126.83,26.6,20.8
7,Kiunga,12,PG,1553238124,39,-6.12,141.3,96.16,3.94
8,Busselton,0,AU,1553238062,33,-33.64,115.35,77.0,21.5
9,Tuatapere,48,NZ,1553237404,76,-46.13,167.69,66.99,7.18
10,Avarua,32,CK,1553236200,88,-21.21,-159.78,78.8,6.93
11,Teya,5,MX,1553238111,64,21.05,-89.07,71.6,4.7
12,Fare,32,PF,1553238125,100,-16.7,-151.02,82.93,8.75
13,Flin Flon,0,CA,1553238080,83,54.77,-101.88,21.64,4.83
14,Tiznit,8,MA,1553237973,93,29.7,-9.73,52.24,1.25
15,Port-Cartier,75,CA,1553238105,92,50.03,-66.88,30.0,2.24
16,Yulara,0,AU,1553234400,8,-25.24,130.99,104.0,8.05
17,Champerico,68,MX,1553238126,89,16.38,-93.6,67.18,3.38
18,Rocha,44,UY,1553237984,85,-34.48,-54.34,48.19,2.15
19,Abu Dhabi,0,AE,1553234400,44,24.47,54.37,82.4,6.93
20,Souillac,0,FR,1553237829,64,45.6,-0.6,42.8,4.7
21,Cidreira,64,BR,1553238127,81,-30.17,-50.22,62.68,6.4
22,Ponta do Sol,92,BR,1553237985,97,-20.63,-46.0,64.3,9.75
23,Constitucion,0,MX,1553237970,37,23.99,-104.67,49.36,8.19
24,Maniitsoq,24,GL,1553238127,100,65.42,-52.9,-7.98,8.41
25,Cape Town,0,ZA,1553238065,68,-33.93,18.42,69.01,12.75
26,Bredasdorp,40,ZA,1553237126,88,-34.53,20.04,66.99,10.65
27,Portland,90,US,1553238066,87,45.52,-122.67,50.0,5.82
28,Vaini,0,IN,1553234400,23,15.34,74.49,89.6,5.82
29,Tripoli,0,GR,1553237458,67,37.51,22.37,64.4,3.6
30,Kahului,40,US,1553237849,64,20.89,-156.47,73.4,11.41
31,Tramandai,64,BR,1553238059,81,-29.98,-50.13,62.68,6.4
32,Tuktoyaktuk,56,CA,1553237959,90,69.44,-133.03,9.58,19.6
33,Clyde River,1,CA,1553234400,75,70.47,-68.59,-20.21,3.36
34,Hambantota,40,LK,1553235000,63,6.12,81.12,91.4,2.24
35,Georgetown,20,GY,1553234400,100,6.8,-58.16,71.6,2.24
36,Yablonovo,0,RU,1553236200,80,50.85,37.36,39.2,8.95
37,Romny,88,UA,1553238130,88,50.74,33.49,37.39,11.99
38,Nishihara,75,JP,1553238085,34,35.74,139.53,72.0,17.22
39,Mataura,88,NZ,1553237404,76,-46.19,168.86,66.99,5.84
40,Atuona,0,PF,1553237927,100,-9.8,-139.03,82.21,15.23
41,Saldanha,0,PT,1553238131,82,41.42,-6.55,26.23,3.04
42,Pevek,0,RU,1553237982,79,69.7,170.27,-12.39,1.59
43,Kozluk,0,TR,1553235600,66,38.17,41.5,50.0,2.24
44,Itarema,88,BR,1553238131,99,-2.92,-39.92,74.11,2.93
45,Kargasok,92,RU,1553238131,76,59.06,80.87,30.46,5.17
46,Kirensk,88,RU,1553238132,64,57.78,108.12,26.41,9.98
47,Puerto Ayora,0,EC,1553237803,98,-0.74,-90.35,76.63,3.94
48,Kaitangata,32,NZ,1553238132,80,-46.28,169.85,64.75,4.94
49,Rawson,0,AR,1553238132,60,-43.3,-65.11,50.08,4.27
50,Daru,88,SL,1553238132,91,7.99,-10.85,74.29,2.82
51,Punta Arenas,75,CL,1553237591,87,-53.16,-70.91,48.2,3.36
52,Mar del Plata,0,AR,1553237960,76,-46.43,-67.52,48.46,7.4
53,Vestmannaeyjar,88,IS,1553237975,100,63.44,-20.27,35.41,24.07
54,Tiksi,68,RU,1553237976,66,71.64,128.87,12.19,16.58
55,Torbay,90,CA,1553237619,79,47.66,-52.73,30.0,14.99
56,Manokwari,56,ID,1553238095,100,-0.87,134.08,78.88,9.42
57,Ushuaia,75,AR,1553234400,87,-54.81,-68.31,44.6,10.29
58,Conceicao da Barra,88,BR,1553238051,93,-18.59,-39.73,80.14,13.22
59,Quatre Cocos,75,MU,1553237941,74,-20.21,57.76,86.0,11.41
60,Lanzhot,0,CZ,1553238101,80,48.72,16.97,45.0,2.24
61,Hobart,75,AU,1553237775,72,-42.88,147.33,68.0,9.17
62,Jamestown,64,AU,1553237986,71,-33.21,138.6,78.7,3.04
63,Yellowknife,20,CA,1553237871,80,62.45,-114.38,34.0,5.82
64,Touros,20,BR,1553234400,94,-5.2,-35.46,77.0,5.82
65,Honningsvag,75,NO,1553233800,89,70.98,25.97,32.0,23.04
66,Hasaki,75,JP,1553238098,63,35.73,140.83,68.0,12.75
67,Qaanaaq,24,GL,1553237965,65,77.48,-69.36,-23.28,10.2
68,Kavieng,24,PG,1553238136,100,-2.57,150.8,85.09,2.71
69,Arraial do Cabo,80,BR,1553237987,88,-22.97,-42.02,78.79,15.23
70,Hithadhoo,56,MV,1553237973,100,-0.6,73.08,84.91,8.08
71,Sarkand,12,KZ,1553238136,93,45.41,79.91,50.89,3.71
72,Kambove,8,CD,1553238136,84,-10.88,26.6,70.51,3.71
73,Glenwood Springs,90,US,1553238110,92,39.55,-107.33,33.8,4.7
74,Leningradskiy,32,RU,1553237993,83,69.38,178.42,-13.38,2.15
75,Dudinka,88,RU,1553238137,98,69.41,86.18,22.99,4.61
76,Butaritari,88,KI,1553237928,100,3.07,172.79,81.76,13.67
77,Nyurba,48,RU,1553238138,64,63.29,118.35,20.2,10.87
78,Mabaruma,24,GY,1553238138,90,8.2,-59.78,74.74,6.62
79,Pangkalanbuun,36,ID,1553238138,81,-2.68,111.62,89.5,5.5
80,New Norfolk,75,AU,1553237955,72,-42.78,147.06,68.0,9.17
81,Puerto Baquerizo Moreno,0,EC,1553238138,97,-0.9,-89.6,77.71,6.73
82,Talnakh,80,RU,1553237960,97,69.49,88.39,21.19,4.05
83,Dunedin,44,NZ,1553237947,91,-45.87,170.5,61.0,5.01
